Member_number,Date,itemDescription,Month,Year,Transaction_ID
4564,2015-07-08,rolls/buns,7,2015,4564_2015-07-08
3337,2015-05-14,beef,5,2015,3337_2015-05-14
4931,2015-05-04,milk,5,2015,4931_2015-05-04
2623,2015-10-10,processed cheese,10,2015,2623_2015-10-10
4581,2015-04-03,tropical fruit,4,2015,4581_2015-04-03
2635,2015-06-11,frankfurter,6,2015,2635_2015-06-11
1095,2015-10-30,packaged fruit/vegetables,10,2015,1095_2015-10-30
2990,2015-05-23,milk,5,2015,2990_2015-05-23
2426,2015-06-05,berries,6,2015,2426_2015-06-05
4555,2015-11-07,citrus fruit,11,2015,4555_2015-11-07
3635,2015-09-04,tropical fruit,9,2015,3635_2015-09-04
3058,2015-05-18,hamburger meat,5,2015,3058_2015-05-18
4391,2015-03-26,hamburger meat,3,2015,4391_2015-03-26
1306,2015-06-23,milk,6,2015,1306_2015-06-23
1024,2015-08-10,fish,8,2015,1024_2015-08-10
1295,2015-07-23,frankfurter,7,2015,1295_2015-07-23
1661,2015-06-01,packaged fruit/vegetables,6,2015,1661_2015-06-01
4591,2015-05-15,pastry,5,2015,4591_2015-05-15
3169,2015-06-14,other vegetables,6,2015,3169_2015-06-14
3915,2015-05-21,misc. beverages,5,2015,3915_2015-05-21
1127,2015-01-14,frankfurter,1,2015,1127_2015-01-14
4828,2015-08-08,sparkling wine,8,2015,4828_2015-08-08
3683,2015-06-10,specialty bar,6,2015,3683_2015-06-10
1971,2015-09-18,sausage,9,2015,1971_2015-09-18
3014,2015-11-11,curd cheese,11,2015,3014_2015-11-11
3779,2015-09-15,frankfurter,9,2015,3779_2015-09-15
2489,2015-05-04,milk,5,2015,2489_2015-05-04
3564,2015-06-27,newspapers,6,2015,3564_2015-06-27
4092,2015-09-30,berries,9,2015,4092_2015-09-30
3221,2015-01-13,curd,1,2015,3221_2015-01-13
1279,2015-09-06,tropical fruit,9,2015,1279_2015-09-06
2581,2015-08-22,soda,8,2015,2581_2015-08-22
2295,2015-02-25,rolls/buns,2,2015,2295_2015-02-25
4760,2015-02-22,canned beer,2,2015,4760_2015-02-22
3649,2015-01-16,canned beer,1,2015,3649_2015-01-16
1075,2015-11-19,frankfurter,11,2015,1075_2015-11-19
3987,2015-08-19,other vegetables,8,2015,3987_2015-08-19
4106,2015-08-25,milk,8,2015,4106_2015-08-25
4338,2015-06-24,milk,6,2015,4338_2015-06-24
4166,2015-11-06,citrus fruit,11,2015,4166_2015-11-06
1211,2015-03-10,frankfurter,3,2015,1211_2015-03-10
3954,2015-01-21,frankfurter,1,2015,3954_2015-01-21
3928,2015-07-18,butter milk,7,2015,3928_2015-07-18
3827,2015-09-30,hamburger meat,9,2015,3827_2015-09-30
4699,2015-02-08,pasta,2,2015,4699_2015-02-08
4747,2015-06-08,other vegetables,6,2015,4747_2015-06-08
3028,2015-06-09,sausage,6,2015,3028_2015-06-09
2851,2015-03-16,rolls/buns,3,2015,2851_2015-03-16
4417,2015-02-25,grapes,2,2015,4417_2015-02-25
3822,2015-03-07,root vegetables,3,2015,3822_2015-03-07
2288,2015-05-31,coffee,5,2015,2288_2015-05-31
2184,2015-06-30,popcorn,6,2015,2184_2015-06-30
4554,2015-08-27,milk,8,2015,4554_2015-08-27
3361,2015-03-05,tropical fruit,3,2015,3361_2015-03-05
2999,2015-04-17,beef,4,2015,2999_2015-04-17
2614,2015-06-25,milk,6,2015,2614_2015-06-25
4064,2015-06-05,frankfurter,6,2015,4064_2015-06-05
3567,2015-10-04,tropical fruit,10,2015,3567_2015-10-04
2587,2015-05-07,canned beer,5,2015,2587_2015-05-07
3783,2015-06-17,finished products,6,2015,3783_2015-06-17
1923,2015-02-14,beverages,2,2015,1923_2015-02-14
4835,2015-02-19,hamburger meat,2,2015,4835_2015-02-19
1514,2015-08-24,milk,8,2015,1514_2015-08-24
3154,2015-06-22,finished products,6,2015,3154_2015-06-22
1313,2015-12-25,other vegetables,12,2015,1313_2015-12-25
2794,2015-07-18,ham,7,2015,2794_2015-07-18
2359,2015-04-09,other vegetables,4,2015,2359_2015-04-09
2238,2015-03-09,curd,3,2015,2238_2015-03-09
3795,2015-01-17,bottled beer,1,2015,3795_2015-01-17
3724,2015-11-26,curd,11,2015,3724_2015-11-26
1152,2015-03-05,milk,3,2015,1152_2015-03-05
4559,2015-03-16,milk,3,2015,4559_2015-03-16
3922,2015-02-27,dessert,2,2015,3922_2015-02-27
1709,2015-04-22,sausage,4,2015,1709_2015-04-22
2219,2015-04-17,other vegetables,4,2015,2219_2015-04-17
2206,2015-10-17,ham,10,2015,2206_2015-10-17
1752,2015-04-06,other vegetables,4,2015,1752_2015-04-06
3942,2015-11-10,other vegetables,11,2015,3942_2015-11-10
3296,2015-08-17,soda,8,2015,3296_2015-08-17
2257,2015-02-05,herbs,2,2015,2257_2015-02-05
4313,2015-07-28,frankfurter,7,2015,4313_2015-07-28
2001,2015-08-21,rolls/buns,8,2015,2001_2015-08-21
2449,2015-07-08,curd,7,2015,2449_2015-07-08
4914,2015-04-12,frankfurter,4,2015,4914_2015-04-12
2764,2015-07-24,other vegetables,7,2015,2764_2015-07-24
4187,2015-05-09,dog food,5,2015,4187_2015-05-09
1392,2015-04-20,specialty bar,4,2015,1392_2015-04-20
3427,2015-04-28,curd,4,2015,3427_2015-04-28
1411,2015-02-20,frankfurter,2,2015,1411_2015-02-20
3390,2015-11-14,soda,11,2015,3390_2015-11-14
4787,2015-08-01,beef,8,2015,4787_2015-08-01
3310,2015-01-17,canned beer,1,2015,3310_2015-01-17
1782,2015-10-10,pork,10,2015,1782_2015-10-10
3375,2015-04-26,frankfurter,4,2015,3375_2015-04-26
2760,2015-01-07,sausage,1,2015,2760_2015-01-07
4249,2015-09-13,canned beer,9,2015,4249_2015-09-13
2904,2015-06-06,specialty chocolate,6,2015,2904_2015-06-06
4090,2015-02-26,curd,2,2015,4090_2015-02-26
3060,2015-07-05,canned beer,7,2015,3060_2015-07-05
3768,2015-10-07,milk,10,2015,3768_2015-10-07
1232,2015-01-21,rolls/buns,1,2015,1232_2015-01-21
1360,2015-10-23,pork,10,2015,1360_2015-10-23
1107,2015-10-01,citrus fruit,10,2015,1107_2015-10-01
2865,2015-11-04,pot plants,11,2015,2865_2015-11-04
2958,2015-06-14,rolls/buns,6,2015,2958_2015-06-14
2448,2015-07-12,butter,7,2015,2448_2015-07-12
1222,2015-09-24,condensed milk,9,2015,1222_2015-09-24
2943,2015-06-20,sausage,6,2015,2943_2015-06-20
2270,2015-08-11,milk,8,2015,2270_2015-08-11
3812,2015-07-21,sausage,7,2015,3812_2015-07-21
1482,2015-11-22,beverages,11,2015,1482_2015-11-22
4720,2015-02-22,beverages,2,2015,4720_2015-02-22
1344,2015-09-04,bottled water,9,2015,1344_2015-09-04
2397,2015-10-04,newspapers,10,2015,2397_2015-10-04
4182,2015-05-12,cleaner,5,2015,4182_2015-05-12
4487,2015-07-10,sausage,7,2015,4487_2015-07-10
3467,2015-12-24,newspapers,12,2015,3467_2015-12-24
2443,2015-11-15,sausage,11,2015,2443_2015-11-15
2749,2015-01-27,misc. beverages,1,2015,2749_2015-01-27
4389,2015-04-13,white wine,4,2015,4389_2015-04-13
1674,2015-12-04,sausage,12,2015,1674_2015-12-04
4262,2015-10-16,meat,10,2015,4262_2015-10-16
2082,2015-04-07,frankfurter,4,2015,2082_2015-04-07
4494,2015-01-06,ice cream,1,2015,4494_2015-01-06
2460,2015-09-28,canned beer,9,2015,2460_2015-09-28
4509,2015-11-29,tropical fruit,11,2015,4509_2015-11-29
2267,2015-07-03,meat,7,2015,2267_2015-07-03
4891,2015-09-05,milk,9,2015,4891_2015-09-05
3962,2015-09-20,sausage,9,2015,3962_2015-09-20
4964,2015-07-18,frankfurter,7,2015,4964_2015-07-18
2914,2015-11-30,meat,11,2015,2914_2015-11-30
2808,2015-05-05,root vegetables,5,2015,2808_2015-05-05
1085,2015-08-15,root vegetables,8,2015,1085_2015-08-15
3808,2015-08-18,milk,8,2015,3808_2015-08-18
4149,2015-01-07,citrus fruit,1,2015,4149_2015-01-07
2331,2015-06-05,citrus fruit,6,2015,2331_2015-06-05
4475,2015-04-03,other vegetables,4,2015,4475_2015-04-03
2761,2015-04-25,citrus fruit,4,2015,2761_2015-04-25
2620,2015-12-14,sausage,12,2015,2620_2015-12-14
3206,2015-10-13,frankfurter,10,2015,3206_2015-10-13
1226,2015-04-13,hard cheese,4,2015,1226_2015-04-13
1395,2015-03-07,cream cheese ,3,2015,1395_2015-03-07
2465,2015-06-07,turkey,6,2015,2465_2015-06-07
3572,2015-07-09,pork,7,2015,3572_2015-07-09
4387,2015-05-08,milk,5,2015,4387_2015-05-08
1555,2015-03-27,rolls/buns,3,2015,1555_2015-03-27
1181,2015-11-16,sausage,11,2015,1181_2015-11-16
2814,2015-05-11,ice cream,5,2015,2814_2015-05-11
2794,2015-09-16,liquor,9,2015,2794_2015-09-16
2912,2015-01-28,pip fruit,1,2015,2912_2015-01-28
4667,2015-01-12,root vegetables,1,2015,4667_2015-01-12
2235,2015-10-25,soda,10,2015,2235_2015-10-25
2353,2015-05-02,soda,5,2015,2353_2015-05-02
3449,2015-03-08,sausage,3,2015,3449_2015-03-08
1058,2015-11-10,root vegetables,11,2015,1058_2015-11-10
1027,2015-05-17,pork,5,2015,1027_2015-05-17
3302,2015-05-22,pork,5,2015,3302_2015-05-22
2229,2015-05-30,chocolate,5,2015,2229_2015-05-30
2188,2015-08-15,fruit/vegetable juice,8,2015,2188_2015-08-15
1547,2015-04-18,pickled vegetables,4,2015,1547_2015-04-18
1649,2015-06-30,bottled water,6,2015,1649_2015-06-30
3254,2015-09-10,frankfurter,9,2015,3254_2015-09-10
2818,2015-11-07,tropical fruit,11,2015,2818_2015-11-07
2703,2015-05-08,canned beer,5,2015,2703_2015-05-08
3332,2015-01-31,root vegetables,1,2015,3332_2015-01-31
2473,2015-07-01,meat,7,2015,2473_2015-07-01
2810,2015-12-30,frankfurter,12,2015,2810_2015-12-30
1033,2015-04-22,tropical fruit,4,2015,1033_2015-04-22
4222,2015-05-27,tropical fruit,5,2015,4222_2015-05-27
3679,2015-09-21,citrus fruit,9,2015,3679_2015-09-21
2212,2015-08-27,hamburger meat,8,2015,2212_2015-08-27
1507,2015-06-22,chicken,6,2015,1507_2015-06-22
2870,2015-01-21,chicken,1,2015,2870_2015-01-21
3429,2015-04-26,frankfurter,4,2015,3429_2015-04-26
4148,2015-04-09,canned beer,4,2015,4148_2015-04-09
2970,2015-12-30,turkey,12,2015,2970_2015-12-30
2013,2015-08-30,packaged fruit/vegetables,8,2015,2013_2015-08-30
3967,2015-05-30,pasta,5,2015,3967_2015-05-30
2885,2015-05-15,citrus fruit,5,2015,2885_2015-05-15
3935,2015-07-02,sausage,7,2015,3935_2015-07-02
3283,2015-05-01,milk,5,2015,3283_2015-05-01
3268,2015-11-06,canned beer,11,2015,3268_2015-11-06
3677,2015-04-30,citrus fruit,4,2015,3677_2015-04-30
3495,2015-06-27,liquor (appetizer),6,2015,3495_2015-06-27
1410,2015-10-04,citrus fruit,10,2015,1410_2015-10-04
2440,2015-06-06,sausage,6,2015,2440_2015-06-06
4088,2015-01-13,chicken,1,2015,4088_2015-01-13
2469,2015-09-23,hamburger meat,9,2015,2469_2015-09-23
4229,2015-03-06,sausage,3,2015,4229_2015-03-06
2728,2015-08-02,beef,8,2015,2728_2015-08-02
4694,2015-01-25,citrus fruit,1,2015,4694_2015-01-25
2836,2015-12-29,UHT-milk,12,2015,2836_2015-12-29
1311,2015-02-12,candy,2,2015,1311_2015-02-12
1760,2015-01-23,newspapers,1,2015,1760_2015-01-23
3656,2015-03-02,beef,3,2015,3656_2015-03-02
3720,2015-05-28,sausage,5,2015,3720_2015-05-28
2996,2015-09-26,frankfurter,9,2015,2996_2015-09-26
1949,2015-07-22,canned beer,7,2015,1949_2015-07-22
4498,2015-02-11,bottled beer,2,2015,4498_2015-02-11
2447,2015-12-28,onions,12,2015,2447_2015-12-28
1952,2015-03-23,tropical fruit,3,2015,1952_2015-03-23
4099,2015-01-27,bottled water,1,2015,4099_2015-01-27
1804,2015-03-12,beef,3,2015,1804_2015-03-12
1510,2015-05-16,sausage,5,2015,1510_2015-05-16
2879,2015-04-18,hair spray,4,2015,2879_2015-04-18
4899,2015-03-12,chicken,3,2015,4899_2015-03-12
4326,2015-09-29,pork,9,2015,4326_2015-09-29
1670,2015-05-17,ice cream,5,2015,1670_2015-05-17
1117,2015-05-24,meat,5,2015,1117_2015-05-24
1346,2015-04-03,other vegetables,4,2015,1346_2015-04-03
1178,2015-11-15,bottled water,11,2015,1178_2015-11-15
1649,2015-06-25,tropical fruit,6,2015,1649_2015-06-25
4651,2015-06-21,photo/film,6,2015,4651_2015-06-21
4243,2015-04-02,sausage,4,2015,4243_2015-04-02
4429,2015-07-21,grapes,7,2015,4429_2015-07-21
4645,2015-07-25,domestic eggs,7,2015,4645_2015-07-25
4019,2015-07-24,rolls/buns,7,2015,4019_2015-07-24
4459,2015-04-26,tropical fruit,4,2015,4459_2015-04-26
3006,2015-12-27,chicken,12,2015,3006_2015-12-27
1834,2015-09-17,frankfurter,9,2015,1834_2015-09-17
3236,2015-07-04,berries,7,2015,3236_2015-07-04
1765,2015-03-11,margarine,3,2015,1765_2015-03-11
3855,2015-03-09,tropical fruit,3,2015,3855_2015-03-09
4392,2015-11-28,ham,11,2015,4392_2015-11-28
3330,2015-07-26,hamburger meat,7,2015,3330_2015-07-26
1723,2015-09-02,yogurt,9,2015,1723_2015-09-02
4110,2015-03-30,soda,3,2015,4110_2015-03-30
2600,2015-01-28,yogurt,1,2015,2600_2015-01-28
2946,2015-10-07,soda,10,2015,2946_2015-10-07
2426,2015-09-08,bottled water,9,2015,2426_2015-09-08
4170,2015-05-03,sausage,5,2015,4170_2015-05-03
1109,2015-04-06,citrus fruit,4,2015,1109_2015-04-06
3429,2015-01-04,shopping bags,1,2015,3429_2015-01-04
2055,2015-02-04,newspapers,2,2015,2055_2015-02-04
2480,2015-09-20,frankfurter,9,2015,2480_2015-09-20
2441,2015-05-30,sausage,5,2015,2441_2015-05-30
1054,2015-10-04,frankfurter,10,2015,1054_2015-10-04
4818,2015-01-11,salt,1,2015,4818_2015-01-11
3379,2015-01-21,oil,1,2015,3379_2015-01-21
3939,2015-02-10,curd,2,2015,3939_2015-02-10
1367,2015-08-05,other vegetables,8,2015,1367_2015-08-05
1043,2015-01-10,citrus fruit,1,2015,1043_2015-01-10
2231,2015-10-17,frankfurter,10,2015,2231_2015-10-17
3235,2015-12-28,root vegetables,12,2015,3235_2015-12-28
4554,2015-07-16,tropical fruit,7,2015,4554_2015-07-16
3245,2015-01-24,beef,1,2015,3245_2015-01-24
2996,2015-05-19,berries,5,2015,2996_2015-05-19
2507,2015-01-05,canned beer,1,2015,2507_2015-01-05
4186,2015-10-25,whipped/sour cream,10,2015,4186_2015-10-25
3929,2015-04-28,root vegetables,4,2015,3929_2015-04-28
3760,2015-11-22,milk,11,2015,3760_2015-11-22
4928,2015-08-18,beef,8,2015,4928_2015-08-18
4217,2015-12-18,frozen vegetables,12,2015,4217_2015-12-18
1174,2015-02-11,rolls/buns,2,2015,1174_2015-02-11
4103,2015-06-19,milk,6,2015,4103_2015-06-19
4408,2015-03-13,milk,3,2015,4408_2015-03-13
2588,2015-12-28,citrus fruit,12,2015,2588_2015-12-28
2598,2015-11-11,pastry,11,2015,2598_2015-11-11
1518,2015-12-11,frankfurter,12,2015,1518_2015-12-11
2702,2015-04-08,tropical fruit,4,2015,2702_2015-04-08
1001,2015-01-20,frankfurter,1,2015,1001_2015-01-20
2270,2015-09-30,berries,9,2015,2270_2015-09-30
2838,2015-11-10,rolls/buns,11,2015,2838_2015-11-10
1683,2015-05-26,root vegetables,5,2015,1683_2015-05-26
4040,2015-04-03,yogurt,4,2015,4040_2015-04-03
3897,2015-08-23,other vegetables,8,2015,3897_2015-08-23
2200,2015-03-11,berries,3,2015,2200_2015-03-11
4073,2015-01-29,berries,1,2015,4073_2015-01-29
3700,2015-04-19,other vegetables,4,2015,3700_2015-04-19
3973,2015-06-10,rolls/buns,6,2015,3973_2015-06-10
2715,2015-07-06,ham,7,2015,2715_2015-07-06
3967,2015-11-23,milk,11,2015,3967_2015-11-23
4002,2015-09-03,tropical fruit,9,2015,4002_2015-09-03
2962,2015-03-01,bottled water,3,2015,2962_2015-03-01
4340,2015-12-25,butter milk,12,2015,4340_2015-12-25
2092,2015-11-06,newspapers,11,2015,2092_2015-11-06
3143,2015-05-24,coffee,5,2015,3143_2015-05-24
2209,2015-10-03,bottled beer,10,2015,2209_2015-10-03
2816,2015-08-22,onions,8,2015,2816_2015-08-22
2659,2015-06-01,hamburger meat,6,2015,2659_2015-06-01
1588,2015-10-13,sausage,10,2015,1588_2015-10-13
1144,2015-10-15,hard cheese,10,2015,1144_2015-10-15
2166,2015-12-10,sausage,12,2015,2166_2015-12-10
3300,2015-10-06,hamburger meat,10,2015,3300_2015-10-06
3944,2015-01-03,onions,1,2015,3944_2015-01-03
4979,2015-04-24,coffee,4,2015,4979_2015-04-24
2630,2015-01-21,shopping bags,1,2015,2630_2015-01-21
4240,2015-04-29,yogurt,4,2015,4240_2015-04-29
2357,2015-07-08,soda,7,2015,2357_2015-07-08
1743,2015-04-18,sliced cheese,4,2015,1743_2015-04-18
2331,2015-02-15,sausage,2,2015,2331_2015-02-15
1643,2015-04-28,yogurt,4,2015,1643_2015-04-28
1291,2015-03-20,domestic eggs,3,2015,1291_2015-03-20
3675,2015-07-04,milk,7,2015,3675_2015-07-04
4134,2015-11-06,meat,11,2015,4134_2015-11-06
1363,2015-06-21,dish cleaner,6,2015,1363_2015-06-21
4212,2015-05-01,other vegetables,5,2015,4212_2015-05-01
1500,2015-03-21,milk,3,2015,1500_2015-03-21
2622,2015-10-01,other vegetables,10,2015,2622_2015-10-01
3543,2015-03-18,tropical fruit,3,2015,3543_2015-03-18
2525,2015-05-24,baking powder,5,2015,2525_2015-05-24
1264,2015-10-12,specialty bar,10,2015,1264_2015-10-12
3601,2015-07-06,ice cream,7,2015,3601_2015-07-06
1771,2015-03-23,frankfurter,3,2015,1771_2015-03-23
4694,2015-02-06,canned beer,2,2015,4694_2015-02-06
1122,2015-12-21,bottled water,12,2015,1122_2015-12-21
3507,2015-08-12,other vegetables,8,2015,3507_2015-08-12
4524,2015-04-26,citrus fruit,4,2015,4524_2015-04-26
3612,2015-09-27,sausage,9,2015,3612_2015-09-27
3262,2015-06-11,domestic eggs,6,2015,3262_2015-06-11
1897,2015-01-25,pork,1,2015,1897_2015-01-25
1656,2015-10-30,specialty cheese,10,2015,1656_2015-10-30
3953,2015-01-10,pork,1,2015,3953_2015-01-10
1488,2015-06-21,beef,6,2015,1488_2015-06-21
1652,2015-03-17,other vegetables,3,2015,1652_2015-03-17
4953,2015-09-16,chicken,9,2015,4953_2015-09-16
3445,2015-04-30,soda,4,2015,3445_2015-04-30
3180,2015-03-15,milk,3,2015,3180_2015-03-15
4934,2015-09-06,rolls/buns,9,2015,4934_2015-09-06
2980,2015-04-27,bottled beer,4,2015,2980_2015-04-27
2763,2015-02-13,root vegetables,2,2015,2763_2015-02-13
4819,2015-03-04,pastry,3,2015,4819_2015-03-04
3169,2015-07-02,berries,7,2015,3169_2015-07-02
1850,2015-03-11,citrus fruit,3,2015,1850_2015-03-11
4285,2015-12-29,milk,12,2015,4285_2015-12-29
4366,2015-08-13,soda,8,2015,4366_2015-08-13
2253,2015-06-16,bottled water,6,2015,2253_2015-06-16
3398,2015-03-11,tropical fruit,3,2015,3398_2015-03-11
2215,2015-07-22,salty snack,7,2015,2215_2015-07-22
3737,2015-03-03,bottled water,3,2015,3737_2015-03-03
2649,2015-11-28,chocolate,11,2015,2649_2015-11-28
3203,2015-08-07,citrus fruit,8,2015,3203_2015-08-07
4261,2015-02-16,bottled water,2,2015,4261_2015-02-16
2435,2015-07-17,onions,7,2015,2435_2015-07-17
2046,2015-08-21,dessert,8,2015,2046_2015-08-21
4267,2015-02-11,beef,2,2015,4267_2015-02-11
1086,2015-12-28,rolls/buns,12,2015,1086_2015-12-28
1992,2015-01-04,beef,1,2015,1992_2015-01-04
3622,2015-07-26,soda,7,2015,3622_2015-07-26
4700,2015-06-27,coffee,6,2015,4700_2015-06-27
2272,2015-05-16,rolls/buns,5,2015,2272_2015-05-16
1663,2015-05-19,pork,5,2015,1663_2015-05-19
2519,2015-06-03,soda,6,2015,2519_2015-06-03
2639,2015-10-30,sausage,10,2015,2639_2015-10-30
1466,2015-04-19,beef,4,2015,1466_2015-04-19
4122,2015-10-23,milk,10,2015,4122_2015-10-23
3598,2015-04-15,pork,4,2015,3598_2015-04-15
3097,2015-08-10,berries,8,2015,3097_2015-08-10
1873,2015-09-19,sausage,9,2015,1873_2015-09-19
1537,2015-02-01,bottled water,2,2015,1537_2015-02-01
3960,2015-03-25,tropical fruit,3,2015,3960_2015-03-25
1136,2015-06-15,herbs,6,2015,1136_2015-06-15
2453,2015-12-21,yogurt,12,2015,2453_2015-12-21
1746,2015-02-15,Instant food products,2,2015,1746_2015-02-15
3572,2015-06-09,specialty chocolate,6,2015,3572_2015-06-09
3246,2015-06-24,coffee,6,2015,3246_2015-06-24
3207,2015-11-26,bottled beer,11,2015,3207_2015-11-26
1042,2015-02-12,beef,2,2015,1042_2015-02-12
1176,2015-03-30,milk,3,2015,1176_2015-03-30
